track_name,track_id,artist_name,album_name,release_date,artist_genre,popularity,Duration (ms),Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Training Season,6Qb7YsAqH4wWFUMbGsCpap,Dua Lipa,Training Season,2024-02-15,"['dance pop', 'pop', 'uk pop']",86,209487,0.0365,0.815,0.582,1.45e-06,5,0.138,-4.5,0,0.0532,123.03,4,0.671
Capricorn,2tKqhcDNVVKXJqllKzrecM,Vampire Weekend,Capricorn / Gen-X Cops,2024-02-16,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock']",66,249560,0.159,0.563,0.644,0.000311,7,0.118,-3.889,1,0.0318,140.022,4,0.525
Bittersweet,7yfRb4seXT7w8zVMW0dXNa,Gunna,Bittersweet,2024-02-16,"['atl hip hop', 'melodic rap', 'rap', 'trap']",70,191493,0.564,0.44,0.636,0.0,1,0.253,-5.73,0,0.0705,158.475,4,0.687
CONTIGO (with Tiësto),4UkUxO2WlKLc0Q1iEutGGh,"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",83,192786,0.178,0.846,0.545,6.23e-06,5,0.0989,-7.826,1,0.0736,122.029,4,0.268
TEXAS HOLD 'EM,0Z7nGFVCLfixWctgePsRk9,Beyoncé,TEXAS HOLD 'EM,2024-02-11,"['pop', 'r&b']",90,235636,0.588,0.725,0.709,0.0,2,0.135,-6.514,1,0.072,110.024,4,0.353
Stand On It (with Future),7H3lr9bsPBGFx5NyTuBBGc,"Yeat, Future",2093,2024-02-16,"['pluggnb', 'rage rap']",74,180800,0.00407,0.584,0.593,0.000849,10,0.226,-9.614,0,0.138,149.972,4,0.319
"yes, and? (with Mariah Carey)",5LBv48NNyHsknRYwFWC361,"Ariana Grande, Mariah Carey","yes, and?",2024-02-16,['pop'],76,214994,0.0876,0.742,0.769,2.68e-06,8,0.0949,-5.346,1,0.0604,118.99,4,0.778
Older,2EBtLxQSV8EHpk4gHoMnl3,Lizzy McAlpine,Older,2024-02-13,"['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop']",71,201303,0.903,0.33,0.184,0.0,3,0.11,-10.683,1,0.0401,82.895,3,0.188
A Tu Manera,2500EpUpryOBJX0rO8fDuB,"Junior H, Peso Pluma",A Tu Manera,2024-02-16,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",79,261068,0.669,0.747,0.577,0.00511,9,0.121,-7.775,0,0.0262,96.996,4,0.501
Sorrys & Ferraris,0tCqfQ0MHZBYvsZ169ZnUM,Polo G,Sorrys & Ferraris,2024-02-16,"['chicago rap', 'rap']",72,167915,0.0554,0.689,0.484,0.0,0,0.0666,-8.874,1,0.383,161.077,4,0.35
Shiver,1ls2PNiOHOxmSfHRyslgAl,"John Summit, Hayla",Shiver,2024-02-14,"['edm', 'house', 'pop dance', 'tech house', 'uk dance']",72,234330,0.0013,0.537,0.924,3.42e-05,4,0.108,-4.616,0,0.034,127.025,4,0.0623
Yeern 101,3K5yjMCFHN4TRWKj1zdKIQ,ScHoolboy Q,Yeern 101,2024-02-15,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,146086,0.182,0.867,0.761,0.0,11,0.0848,-6.646,1,0.142,138.004,4,0.362
Rebound (feat. Anuel AA),0kc2XuAnTuAA4viTMoKsjV,"Jennifer Lopez, Anuel AA",This Is Me...Now (Deluxe),2024-02-16,"['dance pop', 'pop', 'urban contemporary']",63,199133,0.213,0.777,0.652,0.0,5,0.0925,-5.296,0,0.0999,138.034,4,0.663
You Could Start A Cult - Live from Spotify Studios,2fWqTX6zcIHCfhJjLA5pxR,Niall Horan,Live from Spotify Studios,2024-02-13,['pop'],59,176055,0.829,0.506,0.113,4.3e-06,0,0.733,-11.288,1,0.0311,83.985,4,0.2
Country's Cool Again,6fL5O5y6pSeU5Hjx9SgKar,Lainey Wilson,Country's Cool Again,2024-02-16,"['contemporary country', 'modern country pop']",62,218280,0.101,0.549,0.901,5.7e-06,0,0.139,-3.714,0,0.0705,170.008,4,0.803
Dark Matter,0HLRccMV34ON7T0hH1qEVn,Pearl Jam,Dark Matter,2024-02-13,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'permanent wave', 'rock']",71,211720,0.000251,0.495,0.961,0.0,2,0.0729,-3.798,1,0.145,100.036,4,0.403
Spring Is Coming With A Strawberry In The Mouth,0BpAmsdYjaf08yE9y2YgoF,Caroline Polachek,"Desire, I Want To Turn Into You: Everasking Edition",2024-02-14,"['art pop', 'escape room', 'indie pop', 'indietronica']",63,233416,0.0849,0.706,0.803,0.0354,0,0.0678,-5.874,0,0.0339,118.988,4,0.482
Ellipsis,3MaBdTM6hLwb4n280HJaia,"serpentwithfeet, Orion Sun",GRIP,2024-02-16,"['alternative r&b', 'escape room', 'experimental r&b']",36,201218,0.524,0.727,0.596,0.6,7,0.146,-9.27,0,0.0314,136.017,4,0.397
Whatever She Wants,57wp7VFnV8X0pSVnYArGeJ,Bryson Tiller,Whatever She Wants,2024-02-13,"['kentucky hip hop', 'r&b', 'rap']",77,161342,0.102,0.82,0.487,0.0,9,0.0803,-7.358,0,0.0959,96.028,4,0.431
Cupid's Guidance,48k4TP7v4OtZRnblRrIEQT,Sleepy Hallow,Cupid's Guidance,2024-02-14,"['brooklyn drill', 'nyc rap']",69,157866,0.295,0.835,0.639,0.0,7,0.369,-6.827,1,0.364,146.03,4,0.926
Waiting in Vain - Spotify Singles,5tHipIzrGqcoZ4ovlW1Aip,Jordan Ward,Waiting In Vain (Spotify Singles),2024-02-14,"['indie hip hop', 'indie r&b']",58,252573,0.938,0.331,0.197,0.218,9,0.0923,-16.545,1,0.0361,174.515,4,0.409
River,3UrmjZcjcYP3zFUdfWOy46,Myles Smith,River,2024-02-16,['singer-songwriter pop'],60,156358,0.38,0.764,0.502,0.0,6,0.14,-8.967,0,0.0293,109.944,4,0.768
POP POP POP,7f4azWcTVEDHZ7DSc5eh5a,IDLES,TANGK,2024-02-16,"['bristol indie', 'crank wave', 'indie rock', 'modern rock']",62,256573,0.228,0.724,0.728,0.101,10,0.282,-7.938,0,0.0796,122.984,4,0.175
Highlights,0xvkTfdXvK7f1bOZ98ekbH,Sasha Alex Sloan,Highlights,2024-02-16,['alt z'],62,152293,0.85,0.734,0.169,0.0,9,0.104,-12.166,1,0.0377,112.07,4,0.455
Aphid (feat. Dijon),5BLRxUeMQFa4cK61ljrNiF,Matt Champion,Aphid (feat. Dijon),2024-02-14,['bedroom pop'],55,165360,0.706,0.673,0.546,0.0,6,0.162,-8.238,0,0.158,89.074,4,0.705
Lovers In A Past Life (with Rag'n'Bone Man),6v4ABPB255HDSWyIj3S9Wn,"Calvin Harris, Rag'n'Bone Man",Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",72,160650,0.0713,0.752,0.793,1.71e-05,9,0.135,-3.871,0,0.0423,129.992,4,0.725
Time Machine (feat. Thundercat & James Fauntleroy),5dnEmsv2Uc24hMnLv9k0Xo,"Kitty Ca$h, Thundercat, James Fauntleroy",Time Machine (feat. Thundercat & James Fauntleroy),2024-02-16,[],56,251546,0.129,0.785,0.794,0.143,8,0.0771,-6.23,0,0.355,117.998,4,0.575
Turnt,3FYxg905coMBsZgKfOzz5R,"Money Man, Moneybagg Yo",Purple Heart,2024-02-14,"['memphis hip hop', 'southern hip hop', 'trap']",57,165092,0.011,0.901,0.535,0.011,1,0.366,-6.282,1,0.248,128.056,4,0.102
Becky (feat. 41),399es3LKBCviugHiDQcCI1,"Lola Brooke, 41",Becky (feat. 41),2024-02-16,['trap queen'],52,206666,0.057,0.819,0.835,0.0,11,0.31,-4.561,0,0.233,135.032,4,0.361
Head Head Honcho,0rW8JS6v94ggHMBiAI2PNf,Kim Petras,Slut Pop Miami,2024-02-14,"['alt z', 'pop', 'transpop']",65,181417,0.00105,0.768,0.652,0.0181,9,0.082,-3.819,1,0.0391,126.999,4,0.696
Down,78dsAqvPezU0xkeEJMjlj3,"Jason Derulo, David Guetta",Nu King,2024-02-16,"['dance pop', 'pop']",70,129796,0.0725,0.732,0.738,0.0,7,0.203,-5.014,0,0.292,115.923,4,0.734
LAST OF US (feat. Rita Ora),2Mwmp4qVCe8CJcalsT4xm1,"Gryffin, Rita Ora",LAST OF US (feat. Rita Ora),2024-02-16,"['edm', 'pop dance']",65,190909,0.0195,0.502,0.85,0.00536,11,0.106,-4.808,1,0.0673,131.985,4,0.29
Explode!,1ROCJzbhjpP7uYRrse4fzf,Mother Mother,Grief Chapter,2024-02-16,"['canadian indie rock', 'pov: indie', 'vancouver indie']",58,151027,0.0216,0.735,0.731,4.95e-05,9,0.0694,-5.632,1,0.0342,124.044,4,0.732
Your Apartment,2F8GiqfSE1JSjLGHlHMmQa,Wallows,Your Apartment,2024-02-16,['pov: indie'],65,198707,0.00109,0.558,0.873,0.00202,4,0.116,-3.225,1,0.0601,142.019,4,0.711
Life Is,3aJrUfPxOANdzY1weAqrgH,Jessica Pratt,Life Is,2024-02-13,"['ambient folk', 'art pop', 'freak folk']",49,188293,0.75,0.678,0.338,0.00584,2,0.0639,-11.926,1,0.0256,103.985,4,0.38
Happy Hurts,79odnhnVWU9uEE3XAQhTo3,Warren Zeiders,Pretty Little Poison (Deluxe),2024-02-16,['modern country pop'],58,194680,0.429,0.503,0.485,8.18e-06,3,0.117,-6.08,1,0.0285,143.967,4,0.248
